# manually curated list of dbDb assemblies to relate to GenArk clades
# initial construction was via:
#
# grep -v "^#" UCSC* | cut -f3,6 | sort -u > genArk.sciName.clade.tsv
# 
# hgsql -hgenome-centdb -N -e \
#  'select scientificName,name from dbDb where active=1;' hgcentral \
#     | sort -u > dbDb.sciName.name.tsv
# 
# join -t $'\t' <(sort genArk.sciName.clade.tsv) \
#    <(sort dbDb.sciName.name.tsv) | grep -v "(L)" \
#    | awk -F$'\t' '{printf "%s\t%s\n", $3, $2}' | sort -u > dbDb.name.clade.tsv
# 
# sort -t$'\t' -k2,2 dbDb.sciName.name.tsv \
#    | join -t $'\t' -1 2 -v1 - dbDb.name.clade.tsv > dbDb.name.missingClade.tsv
#
# then those few missingClade that didn't match were manually added
# if new genomes are added to dbDb, they would need to be added here
#
# the years were added by getting the year out of dbDb, and joining
#   that list with the previous two column table of name,clade
#
# hgsql -N -e 'select name,description from dbDb;' hgcentraltest \
#   | awk '{printf "%s\t%s\n", $1,$3}' | sort > dbDb.name.year
#
# and the RefSeq/GenBank accession correspondence was obtained by working
#   with the asmEquivalence table in hgFixed to get as many as possible

ailMel1	mammals	2009	GCF_000004335.2
allMis1	vertebrate	2012	GCF_000281125.1
anoCar1	vertebrate	2007	na
anoCar2	vertebrate	2010	GCF_000090745.1
anoGam1	invertebrate	2003	na
anoGam3	invertebrate	2006	GCF_000005575.2
apiMel1	invertebrate	2004	na
apiMel2	invertebrate	2005	na
aplCal1	invertebrate	2008	na
aptMan1	birds	2015	GCF_001039765.1
aquChr2	birds	2014	GCF_000766835.1
balAcu1	mammals	2013	GCF_000493695.1
bisBis1	mammals	2014	GCA_000754665.1
bosTau2	mammals	2005	na
bosTau3	mammals	2006	na
bosTau4	mammals	2007	na
bosTau6	mammals	2009	na
bosTau7	mammals	2011	GCF_000003205.5
bosTau8	mammals	2014	GCF_000003055.5
bosTau9	mammals	2018	GCF_002263795.1
braFlo1	invertebrate	2006	na
caeJap1	invertebrate	2008	na
caePb1	invertebrate	2007	na
caePb2	invertebrate	2008	na
caeRem2	invertebrate	2006	na
caeRem3	invertebrate	2007	na
calJac1	primates	2007	na
calJac3	primates	2009	GCF_000004665.1
calJac4	primates	2020	GCF_009663435.1
calMil1	vertebrate	2013	GCF_000165045.1
canFam1	mammals	2004	na
canFam2	mammals	2005	na
canFam3	mammals	2011	GCF_000002285.3
canFam4	mammals	2020	GCF_011100685.1
canFam5	mammals	2019	GCF_005444595.1
canFam6	mammals	2020	GCF_000002285.5
cavPor3	mammals	2008	GCF_000151735.1
cb1	invertebrate	2002	na
cb3	invertebrate	2007	na
ce10	invertebrate	2010	na
ce11	invertebrate	2013	GCF_000002985.6
ce2	invertebrate	2004	na
ce4	invertebrate	2007	na
ce6	invertebrate	2008	na
cerSim1	mammals	2012	GCF_000283155.1
chlSab2	primates	2014	GCF_000409795.2
choHof1	mammals	2008	GCA_000164785.1
chrPic1	vertebrate	2011	na
ci1	invertebrate	2002	GCA_000183065.1
ci2	invertebrate	2005	na
ci3	invertebrate	2011	GCF_000224145.1
criGri1	mammals	2013	GCF_000419365.1
criGriChoV1	mammals	2011	GCF_000223135.1
criGriChoV2	mammals	2017	GCA_900186095.1
danRer10	fish	2014	GCF_000002035.5
danRer11	fish	2017	GCF_000002035.6
danRer3	fish	2005	na
danRer4	fish	2006	na
danRer5	fish	2007	na
danRer6	fish	2008	na
danRer7	fish	2010	GCF_000002035.4
dasNov3	mammals	2011	GCF_000208655.1
dipOrd1	mammals	2008	GCA_000151885.1
dm1	invertebrate	2003	na
dm2	invertebrate	2004	na
dm3	invertebrate	2006	na
dm6	invertebrate	2014	GCF_000001215.4
dp2	invertebrate	2003	na
dp3	invertebrate	2004	na
droAna1	invertebrate	2004	na
droAna2	invertebrate	2005	na
droEre1	invertebrate	2005	na
droGri1	invertebrate	2005	na
droMoj1	invertebrate	2004	na
droMoj2	invertebrate	2005	na
droPer1	invertebrate	2005	GCF_000005195.2
droSec1	invertebrate	2005	GCF_000005215.3
droSim1	invertebrate	2005	na
droVir1	invertebrate	2004	na
droVir2	invertebrate	2005	na
droYak1	invertebrate	2004	na
droYak2	invertebrate	2005	na
eboVir3	viral	2014	na
echTel1	mammals	2005	na
echTel2	mammals	2012	GCF_000313985.1
enhLutNer1	mammals	2019	GCA_006410715.1
equCab1	mammals	2007	na
equCab2	mammals	2007	na
equCab3	mammals	2018	GCF_002863925.1
eriEur1	mammals	2006	na
eriEur2	mammals	2012	GCF_000296755.1
felCat3	mammals	2006	na
felCat4	mammals	2008	GCA_000003115.1
felCat5	mammals	2011	GCF_000181335.1
felCat8	mammals	2014	GCF_000181335.2
felCat9	mammals	2017	GCF_000181335.3
fr1	fish	2002	na
fr2	fish	2004	na
fr3	fish	2011	GCF_000180615.1
gadMor1	fish	2010	GCA_000231765.1
galGal2	birds	2004	na
galGal3	birds	2006	na
galGal4	birds	2011	GCF_000002315.3
galGal5	birds	2015	GCF_000002315.4
galGal6	birds	2018	GCF_000002315.5
galVar1	mammals	2014	GCF_000696425.1
gasAcu1	fish	2006	na
geoFor1	birds	2012	GCF_000277835.1
gorGor3	primates	2011	na
gorGor4	primates	2014	GCF_000151905.2
gorGor5	primates	2016	GCA_900006655.1
gorGor6	primates	2019	GCF_008122165.1
hetGla1	mammals	2011	GCF_000230445.1
hetGla2	mammals	2012	GCF_000247695.1
hg16	primates	2003	na
hg17	primates	2004	na
hg18	primates	2006	na
hg19	primates	2009	GCF_000001405.25
