O00158	LMO4_HUMAN		GO:0003700	
O00158	LMO4_HUMAN		GO:0005634	
O00158	LMO4_HUMAN		GO:0006355	
O00158	LMO4_HUMAN		GO:0007345	
O02877	O02877		GO:0006955	
O02877	O02877		GO:0016020	
O02877	O02877		GO:0016021	
O02877	O02877		GO:0019884	
O02877	O02877		GO:0019886	
O02877	O02877		GO:0045012	
O02878	O02878		GO:0006955	
O02878	O02878		GO:0016020	
O02878	O02878		GO:0016021	
O02878	O02878		GO:0019884	
O02878	O02878		GO:0019886	
O02878	O02878		GO:0045012	
O02879	O02879		GO:0006955	
O02879	O02879		GO:0016020	
O02879	O02879		GO:0016021	
O02879	O02879		GO:0019884	
O02879	O02879		GO:0019886	
O02879	O02879		GO:0045012	
O02880	O02880		GO:0006955	
O02880	O02880		GO:0016020	
O02880	O02880		GO:0016021	
O02880	O02880		GO:0019884	
O02880	O02880		GO:0019886	
O02880	O02880		GO:0045012	
O02881	O02881		GO:0006955	
O02881	O02881		GO:0016020	
O02881	O02881		GO:0016021	
O02881	O02881		GO:0019884	
O02881	O02881		GO:0019886	
O02881	O02881		GO:0045012	
O02882	O02882		GO:0006955	
O02882	O02882		GO:0016020	
O02882	O02882		GO:0016021	
O02882	O02882		GO:0019884	
O02882	O02882		GO:0019886	
O02882	O02882		GO:0045012	
O02883	O02883		GO:0006955	
O02883	O02883		GO:0016020	
O02883	O02883		GO:0016021	
O02883	O02883		GO:0019884	
O02883	O02883		GO:0019886	
O02883	O02883		GO:0045012	
O02884	O02884		GO:0006955	
O02884	O02884		GO:0016020	
O02884	O02884		GO:0016021	
O02884	O02884		GO:0019884	
O02884	O02884		GO:0019886	
O02884	O02884		GO:0045012	
O02885	O02885		GO:0006955	
O02885	O02885		GO:0016020	
O02885	O02885		GO:0016021	
O02885	O02885		GO:0019884	
O02885	O02885		GO:0019886	
O02885	O02885		GO:0045012	
O02886	O02886		GO:0006955	
O02886	O02886		GO:0016020	
O02886	O02886		GO:0016021	
O02886	O02886		GO:0019884	
O02886	O02886		GO:0019886	
O02886	O02886		GO:0045012	
O02887	O02887		GO:0006955	
O02887	O02887		GO:0016020	
O02887	O02887		GO:0016021	
O02887	O02887		GO:0019884	
O02887	O02887		GO:0019886	
O02887	O02887		GO:0045012	
O02888	O02888		GO:0006955	
